year,regime,scenarioId,configId,validReturnDays,totalReturnPct,CAGRpct,maxDrawdownPct,maxUnderwaterDurationDays,volatilityPct,historicalVaRPct,ewmaMaxPct,hedgeActivationEvents,pctDaysHedged,averageHedgeRatioPct,averageActivationDurationDays,returnSacrificedPct,returnEffect,drawdownReductionPctPoints,volatilityReductionPctPoints,varReductionPctPoints,protectionEfficiencyRatio
2020,Bull market,D_confirmation,stress25_crisis50,254,47.564717,49.231878,-53.135301,196,2.898648,-2.789744,7.009548,1,12.204724,3.051181,31,5.798864,return sacrificed,1.914427,0.146137,0.044925,0.330138
2021,Bull market,D_confirmation,stress25_crisis50,247,-22.110588,-22.670526,-50.164716,194,3.739807,-6.500101,5.803274,5,27.530364,8.603239,13.6,0.418337,return sacrificed,3.622081,0.518558,1.843068,8.658287
2022,Bear market,D_confirmation,stress25_crisis50,240,-57.606247,-58.643778,-60.174241,234,2.600322,-4.191535,4.07777,1,65.416667,16.354167,157,-8.13411,return improved,7.590115,0.49119,0.862498,
2023,Recovery,D_confirmation,stress25_crisis50,247,109.602398,114.129251,-18.240579,73,2.366133,-2.762413,5.720382,0,0,0,0,0,return improved,0,0,0,
2024,ETF/Bull,D_confirmation,stress25_crisis50,240,95.324089,99.1365,-15.374203,41,2.142412,-3.681167,3.355019,0,0,0,0,0,return improved,0,0,0,
2025,Mixed,D_confirmation,stress25_crisis50,252,-10.557449,-10.845124,-27.778929,100,1.808378,-2.795671,2.701887,4,9.52381,2.380952,6,0.462917,return sacrificed,1.750074,0.045873,0,3.780533
2020,Bull market,E_gradual_deescalation,stress25_crisis50,254,49.961495,51.7263,-52.374114,196,2.879279,-2.789744,6.889845,1,12.598425,3.149606,32,3.402087,return sacrificed,2.675613,0.165507,0.044925,0.786462
2021,Bull market,E_gradual_deescalation,stress25_crisis50,247,-21.409027,-21.953805,-50.203053,194,3.736343,-6.500101,5.803114,7,30.364372,9.311741,10.714286,-0.283223,return improved,3.583744,0.522021,1.843068,
2022,Bear market,E_gradual_deescalation,stress25_crisis50,240,-57.124514,-58.160187,-59.721689,234,2.594456,-4.181284,4.07777,1,65.833333,16.458333,158,-8.615843,return improved,8.042667,0.497056,0.872749,
2023,Recovery,E_gradual_deescalation,stress25_crisis50,247,109.602398,114.129251,-18.240579,73,2.366133,-2.762413,5.720382,0,0,0,0,0,return improved,0,0,0,
2024,ETF/Bull,E_gradual_deescalation,stress25_crisis50,240,94.321789,98.08521,-15.374203,41,2.141822,-3.681167,3.354979,1,0.416667,0.104167,1,1.0023,return sacrificed,0,0.000589,0,0
2025,Mixed,E_gradual_deescalation,stress25_crisis50,252,-11.656079,-11.971638,-27.750243,100,1.792705,-2.795671,2.701889,8,12.698413,3.174603,4,1.561547,return sacrificed,1.778761,0.061546,0,1.139102
2020,Bull market,F_delay_confirmation,stress25_crisis50,254,44.310661,45.847127,-53.7922,212,2.9004,-2.789744,7.009548,1,12.204724,3.051181,31,9.05292,return sacrificed,1.257527,0.144386,0.044925,0.138908
2021,Bull market,F_delay_confirmation,stress25_crisis50,247,-23.484822,-24.073915,-50.722574,194,3.743221,-6.805287,5.926853,4,27.125506,8.502024,16.75,1.792572,return sacrificed,3.064224,0.515143,1.537882,1.709401
2022,Bear market,F_delay_confirmation,stress25_crisis50,240,-57.984958,-59.023838,-60.541161,234,2.604413,-4.191535,4.077968,2,65.416667,16.354167,78.5,-7.755399,return improved,7.223196,0.487099,0.862498,
2023,Recovery,F_delay_confirmation,stress25_crisis50,247,109.019103,113.516178,-18.240579,73,2.365814,-2.762413,5.718557,1,0.404858,0.101215,1,0.583295,return sacrificed,0,0.000318,0,0
2024,ETF/Bull,F_delay_confirmation,stress25_crisis50,240,95.324089,99.1365,-15.374203,41,2.142412,-3.681167,3.355019,0,0,0,0,0,return improved,0,0,0,
2025,Mixed,F_delay_confirmation,stress25_crisis50,252,-10.959892,-11.257828,-27.946066,100,1.808158,-2.795671,2.704795,4,9.126984,2.281746,5.75,0.865361,return sacrificed,1.582938,0.046093,0,1.829224
2020,Bull market,G_delay_confirmation_gradual_exit,stress25_crisis50,254,44.310661,45.847127,-53.7922,212,2.9004,-2.789744,7.009548,1,12.204724,3.051181,31,9.05292,return sacrificed,1.257527,0.144386,0.044925,0.138908
2021,Bull market,G_delay_confirmation_gradual_exit,stress25_crisis50,247,-23.484822,-24.073915,-50.722574,194,3.743221,-6.805287,5.926853,4,27.125506,8.502024,16.75,1.792572,return sacrificed,3.064224,0.515143,1.537882,1.709401
2022,Bear market,G_delay_confirmation_gradual_exit,stress25_crisis50,240,-57.984958,-59.023838,-60.541161,234,2.604413,-4.191535,4.077968,2,65.416667,16.354167,78.5,-7.755399,return improved,7.223196,0.487099,0.862498,
2023,Recovery,G_delay_confirmation_gradual_exit,stress25_crisis50,247,109.019103,113.516178,-18.240579,73,2.365814,-2.762413,5.718557,1,0.404858,0.101215,1,0.583295,return sacrificed,0,0.000318,0,0
2024,ETF/Bull,G_delay_confirmation_gradual_exit,stress25_crisis50,240,95.324089,99.1365,-15.374203,41,2.142412,-3.681167,3.355019,0,0,0,0,0,return improved,0,0,0,
2025,Mixed,G_delay_confirmation_gradual_exit,stress25_crisis50,252,-10.959892,-11.257828,-27.946066,100,1.808158,-2.795671,2.704795,4,9.126984,2.281746,5.75,0.865361,return sacrificed,1.582938,0.046093,0,1.829224
