run_name,startDate,endDate,underlying,underlyingPriceSource,optionSettlementPriceSource,entryHourUtc,entryMinuteUtc,maxEntryDelayMinutes,xOtm,strikeStep,strikeRange,tenor,fallbackMode,sizingMode,finalCapital,totalPnL,callWeeks,totalWeeks,observedOptionWeeks,theoreticalFallbackWeeks,syntheticOptionWeeks,missingObservedInstrumentWeeks,missingObservedCandleWeeks,invalidObservedOpenWeeks,settlementFallbackWeeks,initialBtcPrice,finalBtcPrice,runReturnPct,btcReturnPct,annualizedVolatilityOfWeeklyReturns,annualizedVolatilityOfWeeklyReturnsPct,path,createdAt
btc_2020-01-03_2020-12-31T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,03/01/2020,2020-12-31T08:00:00Z,BTC-PERPETUAL,BTC-PERPETUAL,DERIBIT_BTC_USD_DELIVERY_PRICE,8,0,60,0.1,1000,3000,weekly,long_btc,dynamic,20807.43438,13635.01638,51,51,38,13,13,13,0,0,1,7194,23678,190.1034823,229.1353906,0.649097161,64.90971614,btc_2020-01-03_2020-12-31T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2026-05-08T12:36:27.289Z
btc_2021-01-01_2021-12-31T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,01/01/2021,2021-12-31T08:00:00Z,BTC-PERPETUAL,BTC-PERPETUAL,DERIBIT_BTC_USD_DELIVERY_PRICE,8,0,60,0.1,1000,3000,weekly,long_btc,dynamic,54519.81533,25796.99697,52,52,37,15,15,15,0,0,0,29186.5,47184,89.81359921,61.66378291,0.628314202,62.83142018,btc_2021-01-01_2021-12-31T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2026-05-08T12:41:36.412Z
btc_2022-01-07_2022-12-31T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,07/01/2022,2022-12-31T08:00:00Z,BTC-PERPETUAL,BTC-PERPETUAL,DERIBIT_BTC_USD_DELIVERY_PRICE,8,0,60,0.1,1000,3000,weekly,long_btc,dynamic,22122.56538,-19272.62462,51,51,36,15,15,15,0,0,1,41708,16467.5,-46.55764261,-60.51716697,0.525361083,52.53610835,btc_2022-01-07_2022-12-31T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2026-05-08T12:46:49.819Z
btc_2023-01-06_2023-12-31T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,06/01/2023,2023-12-31T08:00:00Z,BTC-PERPETUAL,BTC-PERPETUAL,DERIBIT_BTC_USD_DELIVERY_PRICE,8,0,60,0.1,1000,3000,weekly,long_btc,dynamic,34125.90083,17368.07533,51,51,37,14,14,14,0,0,0,16783,42343.5,103.6415812,152.2999464,0.403632956,40.36329563,btc_2023-01-06_2023-12-31T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2026-05-08T12:50:26.517Z
btc_2024-01-05_2024-12-31T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,05/01/2024,2024-12-31T08:00:00Z,BTC-PERPETUAL,BTC-PERPETUAL,DERIBIT_BTC_USD_DELIVERY_PRICE,8,0,60,0.1,1000,3000,weekly,long_btc,dynamic,91859.52572,48691.66197,51,51,36,15,15,15,0,0,0,43847.5,95077,112.7960889,116.8356235,0.436884779,43.68847789,btc_2024-01-05_2024-12-31T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2026-05-08T12:53:29.434Z
btc_2025-01-03_2025-12-31T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,03/01/2025,2025-12-31T08:00:00Z,BTC-PERPETUAL,BTC-PERPETUAL,DERIBIT_BTC_USD_DELIVERY_PRICE,8,0,60,0.1,1000,3000,weekly,long_btc,dynamic,97518.83774,1557.220337,51,51,38,13,13,13,0,0,0,96289,88458,1.622753325,-8.132808524,0.428045266,42.8045266,btc_2025-01-03_2025-12-31T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2026-05-08T12:55:50.049Z
btc_2026-01-02_2026-05-08T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,02/01/2026,2026-05-08T08:00:00Z,BTC-PERPETUAL,BTC-PERPETUAL,DERIBIT_BTC_USD_DELIVERY_PRICE,8,0,60,0.1,1000,3000,weekly,long_btc,dynamic,82823.69877,-5954.753831,18,18,12,6,6,6,0,0,1,88798,79684,-6.707431428,-10.26374468,0.480460535,48.04605354,btc_2026-01-02_2026-05-08T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2026-05-08T12:56:30.326Z
btc_2020-01-03_2020-12-31T08-00-00Z_atm00_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,03/01/2020,2020-12-31T08:00:00Z,BTC-PERPETUAL,BTC-PERPETUAL,DERIBIT_BTC_USD_DELIVERY_PRICE,8,0,60,0,1000,3000,weekly,long_btc,dynamic,10908.39238,4027.331378,51,51,38,13,13,13,0,0,0,7194,23678,58.52776742,229.1353906,0.480275497,48.02754967,btc_2020-01-03_2020-12-31T08-00-00Z_atm00_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2026-05-08T14:10:24.895Z
btc_2021-01-01_2021-12-31T08-00-00Z_atm00_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,01/01/2021,2021-12-31T08:00:00Z,BTC-PERPETUAL,BTC-PERPETUAL,DERIBIT_BTC_USD_DELIVERY_PRICE,8,0,60,0,1000,3000,weekly,long_btc,dynamic,55268.47528,27565.38147,52,52,37,15,15,15,0,0,1,29186.5,47184,99.50289905,61.66378291,0.45741237,45.74123699,btc_2021-01-01_2021-12-31T08-00-00Z_atm00_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2026-05-08T14:15:33.252Z
btc_2022-01-07_2022-12-31T08-00-00Z_atm00_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,07/01/2022,2022-12-31T08:00:00Z,BTC-PERPETUAL,BTC-PERPETUAL,DERIBIT_BTC_USD_DELIVERY_PRICE,8,0,60,0,1000,3000,weekly,long_btc,dynamic,36043.77369,-4246.154315,51,51,36,15,15,15,0,0,0,41708,16467.5,-10.53899703,-60.51716697,0.407613998,40.76139977,btc_2022-01-07_2022-12-31T08-00-00Z_atm00_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2026-05-08T14:19:59.976Z
