configId,state,year,regime,startDate,endDate,durationDays,maxDamageState,maxDrawdownPct,maxVarLossPct,maxEwmaPct,minDailyReturnPct
v04a_confirmation_stress,watch,2021,Bull market,2021-12-20,2021-12-27,8,stress,-29.250948,5.903036,3.482019,-0.954881
v04a_confirmation_stress,stress,2021,Bull market,2021-12-28,2021-12-30,3,stress,-26.81069,5.528352,3.128277,-3.916806
v04a_confirmation_stress,normal,2022,Bear market,2022-01-07,2022-01-23,17,normal,-19.664794,,3.629198,-11.519976
v04a_confirmation_stress,stress,2022,Bear market,2022-01-24,2022-01-24,1,watch,-22.868191,,3.589704,-4.527624
v04a_confirmation_stress,normal,2022,Bear market,2022-01-25,2022-01-26,2,normal,-16.878394,,4.052046,5.215027
v04a_confirmation_stress,watch,2022,Bear market,2022-01-27,2022-02-14,19,stress,-15.75674,,4.069811,-3.674014
v04a_confirmation_stress,normal,2022,Bear market,2022-02-15,2022-03-07,21,normal,-19.088904,7.912703,3.694476,-7.922967
v04a_confirmation_stress,watch,2022,Bear market,2022-03-08,2022-05-07,61,stress,-19.43039,7.912703,4.077771,-6.539224
v04a_confirmation_stress,stress,2022,Bear market,2022-05-08,2022-05-26,19,stress,-36.480977,4.65018,4.096002,-10.931748
v04a_confirmation_stress,watch,2022,Bear market,2022-05-27,2022-06-02,7,stress,,4.65018,3.385891,
v04a_confirmation_stress,stress,2022,Bear market,2022-06-03,2022-06-23,21,stress,-56.749462,8.593602,4.693772,-13.322949
v04a_confirmation_stress,watch,2022,Bear market,2022-06-24,2022-07-07,14,stress,,5.529357,4.327759,
v04a_confirmation_stress,stress,2022,Bear market,2022-07-08,2022-07-18,11,stress,-56.282302,5.529357,4.327759,-3.061263
v04a_confirmation_stress,watch,2022,Bear market,2022-07-19,2022-07-22,4,stress,-50.801994,5.529357,3.565617,-1.123108
v04a_confirmation_stress,stress,2022,Bear market,2022-07-23,2022-07-23,1,stress,-49.943328,5.529357,3.403746,-2.968755
v04a_confirmation_stress,watch,2022,Bear market,2022-07-24,2022-07-25,2,stress,-50.468526,5.529357,3.30516,-1.785567
v04a_confirmation_stress,stress,2022,Bear market,2022-07-26,2022-07-28,3,stress,-52.538672,5.529357,3.540733,-4.179455
v04a_confirmation_stress,watch,2022,Bear market,2022-07-29,2022-08-04,7,stress,,5.529357,3.540733,
v04a_confirmation_stress,stress,2022,Bear market,2022-08-05,2022-08-06,2,stress,-48.691863,5.529357,3.540733,0.937175
v04a_confirmation_stress,watch,2022,Bear market,2022-08-07,2022-08-08,2,stress,-48.095775,4.01415,3.336168,0.22252
v04a_confirmation_stress,stress,2022,Bear market,2022-08-09,2022-08-09,1,stress,-48.108904,3.978237,3.276993,-2.761602
v04a_confirmation_stress,watch,2022,Bear market,2022-08-10,2022-08-11,2,stress,-46.435022,3.676269,3.273942,2.191071
v04a_confirmation_stress,stress,2022,Bear market,2022-08-12,2022-08-15,4,stress,-46.760659,3.019635,3.19248,-2.738985
v04a_confirmation_stress,watch,2022,Bear market,2022-08-16,2022-08-18,3,stress,-46.86207,3.019635,2.875516,-1.489709
v04a_confirmation_stress,stress,2022,Bear market,2022-08-19,2022-08-19,1,stress,-51.980278,2.945312,3.556105,-9.712549
v04a_confirmation_stress,watch,2022,Bear market,2022-08-20,2022-09-12,24,stress,-53.012356,3.63464,3.448,-0.237561
v04a_confirmation_stress,stress,2022,Bear market,2022-09-13,2022-09-25,13,stress,-58.048237,4.034826,2.851108,-3.858058
v04a_confirmation_stress,watch,2022,Bear market,2022-09-26,2022-09-27,2,stress,-56.901991,3.814857,2.496143,1.132159
v04a_confirmation_stress,stress,2022,Bear market,2022-09-28,2022-09-29,2,stress,-56.967487,3.814857,2.493295,-2.448246
v04a_confirmation_stress,watch,2022,Bear market,2022-09-30,2022-10-06,7,stress,,3.814857,2.425679,
v04a_confirmation_stress,stress,2022,Bear market,2022-10-07,2022-10-07,1,stress,-55.774566,3.814857,2.425679,
v04a_confirmation_stress,watch,2022,Bear market,2022-10-08,2022-10-12,5,stress,-57.098047,3.814857,2.353485,-1.976601
v04a_confirmation_stress,stress,2022,Bear market,2022-10-13,2022-10-13,1,stress,-58.190384,3.49808,2.279099,-3.703397
v04a_confirmation_stress,watch,2022,Bear market,2022-10-14,2022-10-18,5,stress,-56.594148,3.735659,2.629271,-1.669457
v04a_confirmation_stress,stress,2022,Bear market,2022-10-19,2022-10-19,1,stress,-56.563002,3.735659,2.405913,-2.166157
v04a_confirmation_stress,watch,2022,Bear market,2022-10-20,2022-11-06,18,stress,-56.836628,3.735659,2.334573,-1.015805
v04a_confirmation_stress,stress,2022,Bear market,2022-11-07,2022-11-17,11,crisis,-62.625836,5.451927,3.290223,-9.138438
v04a_confirmation_stress,watch,2022,Bear market,2022-11-18,2022-11-20,3,crisis,-62.566529,5.451927,2.751017,-0.518583
v04a_confirmation_stress,stress,2022,Bear market,2022-11-21,2022-11-22,2,crisis,-63.424948,5.451927,2.566485,-2.178795
v04a_confirmation_stress,watch,2022,Bear market,2022-11-23,2022-12-15,23,crisis,-62.664547,5.451927,2.465815,-1.739023
v04a_confirmation_stress,stress,2022,Bear market,2022-12-16,2022-12-16,1,crisis,-61.49862,5.451927,2.267547,-2.800323
v04a_confirmation_stress,watch,2022,Bear market,2022-12-17,2022-12-29,13,crisis,-62.214517,5.451927,2.243263,-1.821014
v04a_confirmation_stress,normal,2023,Recovery,2023-01-06,2023-03-12,66,normal,-18.902711,3.403368,2.649188,-8.948255
v04a_confirmation_stress,watch,2023,Recovery,2023-03-13,2023-03-16,4,watch,-17.59483,4.233107,2.987976,-3.764706
v04a_confirmation_stress,normal,2023,Recovery,2023-03-17,2023-05-04,49,normal,-10.360898,4.233107,5.720382,-3.209425
v04a_confirmation_stress,watch,2023,Recovery,2023-05-05,2023-06-28,55,stress,-17.579313,3.529521,3.389421,-3.747493
v04a_confirmation_stress,normal,2023,Recovery,2023-06-29,2023-08-03,36,normal,-6.132515,3.023049,2.610465,-2.360764
