asset,regime,regime_label,regime_start,regime_end,tenor,moneyness_label,xOtm,source_batch_name,comparison_scope,cycleCount,returnPct,volatilityPct,drawdownPct,hitRatePct,averageCycleReturnPct,warnings
BTC,ETF/bull regime,etf_bull_2024_2025,2024-01-01,2025-12-31T23:59:59Z,weekly,itm05,-0.05,batch_years_itm05_2020_2026,full_period,102,27.951463,2.054995,-17.96564,77.45098,0.264262,
BTC,ETF/bull regime,etf_bull_2024_2025,2024-01-01,2025-12-31T23:59:59Z,weekly,atm00,0,batch_years_atm00_2020_2026,full_period,102,61.333613,3.560043,-24.60562,71.568627,0.536154,
BTC,ETF/bull regime,etf_bull_2024_2025,2024-01-01,2025-12-31T23:59:59Z,weekly,otm03,0.03,batch_years_otm03_2020_2026,full_period,102,80.920039,4.488556,-27.452519,63.72549,0.686952,
BTC,ETF/bull regime,etf_bull_2024_2025,2024-01-01,2025-12-31T23:59:59Z,weekly,otm05,0.05,batch_years_otm05_2020_2026,full_period,102,93.285548,5.035211,-27.70594,61.764706,0.77788,
BTC,ETF/bull regime,etf_bull_2024_2025,2024-01-01,2025-12-31T23:59:59Z,weekly,otm07,0.07,batch_years_otm07_2020_2026,full_period,102,100.894188,5.499902,-28.864992,60.784314,0.839749,
BTC,ETF/bull regime,etf_bull_2024_2025,2024-01-01,2025-12-31T23:59:59Z,weekly,otm10,0.1,batch_years_otm10_2020_2026,full_period,102,116.249245,6.012672,-29.759533,58.823529,0.94034,
BTC,Recovery/transition,recovery_transition_2023,2023-01-01,2023-12-31T23:59:59Z,14d,atm00,0,batch_years_btc_14d_atm00_2020_2026,full_period,25,60.375165,3.281526,-8.268147,84,1.960367,
BTC,Recovery/transition,recovery_transition_2023,2023-01-01,2023-12-31T23:59:59Z,14d,otm03,0.03,batch_years_btc_14d_otm03_2020_2026,full_period,25,77.008174,4.123558,-9.371915,80,2.393008,
BTC,Recovery/transition,recovery_transition_2023,2023-01-01,2023-12-31T23:59:59Z,14d,otm05,0.05,batch_years_btc_14d_otm05_2020_2026,full_period,23,55.587002,4.743932,-10.258681,73.913043,2.04918,
BTC,Recovery/transition,recovery_transition_2023,2023-01-01,2023-12-31T23:59:59Z,14d,otm05,0.05,batch_years_btc_14d_otm05_2026_2026,partial_period,0,,,,,,partial_period_excluded_from_primary_rankings; no_cycles_in_regime
BTC,Recovery/transition,recovery_transition_2023,2023-01-01,2023-12-31T23:59:59Z,14d,otm07,0.07,batch_years_btc_14d_otm07_2020_2026,full_period,25,86.911116,5.27668,-11.716623,76,2.66716,
BTC,Recovery/transition,recovery_transition_2023,2023-01-01,2023-12-31T23:59:59Z,14d,otm10,0.1,batch_years_btc_14d_otm10_2020_2026,full_period,25,105.336397,6.349729,-12.304097,68,3.109626,
BTC,Recovery/transition,recovery_transition_2023,2023-01-01,2023-12-31T23:59:59Z,monthly,atm00,0,batch_years_btc_monthly_atm00_2020_2026,full_period,12,40.779296,4.895787,-7.959789,75,3.001703,
BTC,Recovery/transition,recovery_transition_2023,2023-01-01,2023-12-31T23:59:59Z,monthly,otm03,0.03,batch_years_btc_monthly_otm03_2020_2026,full_period,12,53.569776,6.146254,-10.352516,75,3.812524,
BTC,Recovery/transition,recovery_transition_2023,2023-01-01,2023-12-31T23:59:59Z,monthly,otm05,0.05,batch_years_btc_monthly_otm05_2020_2026,full_period,12,59.779358,6.870405,-11.281158,75,4.199618,
BTC,Recovery/transition,recovery_transition_2023,2023-01-01,2023-12-31T23:59:59Z,monthly,otm07,0.07,batch_years_btc_monthly_otm07_2020_2026,full_period,12,61.295245,7.42671,-12.097992,66.666667,4.316365,
BTC,Recovery/transition,recovery_transition_2023,2023-01-01,2023-12-31T23:59:59Z,monthly,otm10,0.1,batch_years_btc_monthly_otm10_2020_2026,full_period,12,69.489705,8.312414,-13.268184,66.666667,4.808792,
BTC,Recovery/transition,recovery_transition_2023,2023-01-01,2023-12-31T23:59:59Z,weekly,itm05,-0.05,batch_years_itm05_2020_2026,full_period,51,22.053731,1.746479,-8.516146,86.27451,0.406925,
BTC,Recovery/transition,recovery_transition_2023,2023-01-01,2023-12-31T23:59:59Z,weekly,atm00,0,batch_years_atm00_2020_2026,full_period,51,57.667415,2.808352,-10.712292,74.509804,0.936268,
BTC,Recovery/transition,recovery_transition_2023,2023-01-01,2023-12-31T23:59:59Z,weekly,otm03,0.03,batch_years_otm03_2020_2026,full_period,51,67.277888,3.889981,-14.101092,70.588235,1.089582,
BTC,Recovery/transition,recovery_transition_2023,2023-01-01,2023-12-31T23:59:59Z,weekly,otm05,0.05,batch_years_otm05_2020_2026,full_period,51,70.811753,4.325214,-14.383725,66.666667,1.148354,
BTC,Recovery/transition,recovery_transition_2023,2023-01-01,2023-12-31T23:59:59Z,weekly,otm07,0.07,batch_years_otm07_2020_2026,full_period,51,71.186684,4.713664,-17.058159,64.705882,1.169494,
BTC,Recovery/transition,recovery_transition_2023,2023-01-01,2023-12-31T23:59:59Z,weekly,otm10,0.1,batch_years_otm10_2020_2026,full_period,51,103.641581,5.597382,-17.642609,64.705882,1.556364,
