date,snapshot_time_utc,instrument_name,cycle,entry_date,exit_date,expiry,strike,snapshot_found,mark_price_found,mark_price,mark_iv_found,mark_iv,delta_found,delta,gamma_found,gamma,theta_found,theta,vega_found,vega,underlying_price_found,underlying_price,option_trade_candle_found,option_trade_close,recent_trade_found,recent_trade_count,api_timestamp,api_timestamp_iso,timestamp_diff_ms,missing_fields,notes
2025-07-04,08:00,BTC-11JUL25-120000-C,27,2025-07-04T08:00:00.000Z,2025-07-11T08:00:00.000Z,11JUL25,120000,false,false,,false,,false,,false,,false,,false,,true,108802.5,true,0.0007,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-07-04,14:00,BTC-11JUL25-120000-C,27,2025-07-04T08:00:00.000Z,2025-07-11T08:00:00.000Z,11JUL25,120000,false,false,,false,,false,,false,,false,,false,,true,107877.5,true,0.0007,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-07-04,16:00,BTC-11JUL25-120000-C,27,2025-07-04T08:00:00.000Z,2025-07-11T08:00:00.000Z,11JUL25,120000,false,false,,false,,false,,false,,false,,false,,true,107675,true,0.0006,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-07-05,08:00,BTC-11JUL25-120000-C,27,2025-07-04T08:00:00.000Z,2025-07-11T08:00:00.000Z,11JUL25,120000,false,false,,false,,false,,false,,false,,false,,true,108083,true,0.0005,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-07-05,14:00,BTC-11JUL25-120000-C,27,2025-07-04T08:00:00.000Z,2025-07-11T08:00:00.000Z,11JUL25,120000,false,false,,false,,false,,false,,false,,false,,true,108222.5,true,0.0004,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-07-05,16:00,BTC-11JUL25-120000-C,27,2025-07-04T08:00:00.000Z,2025-07-11T08:00:00.000Z,11JUL25,120000,false,false,,false,,false,,false,,false,,false,,true,108153,true,0.0004,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-07-06,08:00,BTC-11JUL25-120000-C,27,2025-07-04T08:00:00.000Z,2025-07-11T08:00:00.000Z,11JUL25,120000,false,false,,false,,false,,false,,false,,false,,true,108071.5,true,0.0003,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-07-06,14:00,BTC-11JUL25-120000-C,27,2025-07-04T08:00:00.000Z,2025-07-11T08:00:00.000Z,11JUL25,120000,false,false,,false,,false,,false,,false,,false,,true,108996.5,true,0.0003,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-07-06,16:00,BTC-11JUL25-120000-C,27,2025-07-04T08:00:00.000Z,2025-07-11T08:00:00.000Z,11JUL25,120000,false,false,,false,,false,,false,,false,,false,,true,108928,true,0.0003,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-07-07,08:00,BTC-11JUL25-120000-C,27,2025-07-04T08:00:00.000Z,2025-07-11T08:00:00.000Z,11JUL25,120000,false,false,,false,,false,,false,,false,,false,,true,109095,true,0.0004,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-07-07,14:00,BTC-11JUL25-120000-C,27,2025-07-04T08:00:00.000Z,2025-07-11T08:00:00.000Z,11JUL25,120000,false,false,,false,,false,,false,,false,,false,,true,108260,true,0.0002,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-07-07,16:00,BTC-11JUL25-120000-C,27,2025-07-04T08:00:00.000Z,2025-07-11T08:00:00.000Z,11JUL25,120000,false,false,,false,,false,,false,,false,,false,,true,107977,true,0.0002,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-07-08,08:00,BTC-11JUL25-120000-C,27,2025-07-04T08:00:00.000Z,2025-07-11T08:00:00.000Z,11JUL25,120000,false,false,,false,,false,,false,,false,,false,,true,108301,true,0.0003,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-07-08,14:00,BTC-11JUL25-120000-C,27,2025-07-04T08:00:00.000Z,2025-07-11T08:00:00.000Z,11JUL25,120000,false,false,,false,,false,,false,,false,,false,,true,108408.5,true,0.0001,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-07-08,16:00,BTC-11JUL25-120000-C,27,2025-07-04T08:00:00.000Z,2025-07-11T08:00:00.000Z,11JUL25,120000,false,false,,false,,false,,false,,false,,false,,true,108489.5,true,0.0001,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-07-09,08:00,BTC-11JUL25-120000-C,27,2025-07-04T08:00:00.000Z,2025-07-11T08:00:00.000Z,11JUL25,120000,false,false,,false,,false,,false,,false,,false,,true,108735.5,true,0.0001,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-07-09,14:00,BTC-11JUL25-120000-C,27,2025-07-04T08:00:00.000Z,2025-07-11T08:00:00.000Z,11JUL25,120000,false,false,,false,,false,,false,,false,,false,,true,108962.5,true,0.0001,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-07-09,16:00,BTC-11JUL25-120000-C,27,2025-07-04T08:00:00.000Z,2025-07-11T08:00:00.000Z,11JUL25,120000,false,false,,false,,false,,false,,false,,false,,true,109449,true,0.0001,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-07-10,08:00,BTC-11JUL25-120000-C,27,2025-07-04T08:00:00.000Z,2025-07-11T08:00:00.000Z,11JUL25,120000,false,false,,false,,false,,false,,false,,false,,true,111330,true,0.0001,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-07-10,14:00,BTC-11JUL25-120000-C,27,2025-07-04T08:00:00.000Z,2025-07-11T08:00:00.000Z,11JUL25,120000,false,false,,false,,false,,false,,false,,false,,true,111360,true,0.0001,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-07-10,16:00,BTC-11JUL25-120000-C,27,2025-07-04T08:00:00.000Z,2025-07-11T08:00:00.000Z,11JUL25,120000,false,false,,false,,false,,false,,false,,false,,true,112749.5,true,0.0003,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-07-11,08:00,BTC-18JUL25-130000-C,28,2025-07-11T08:00:00.000Z,2025-07-18T08:00:00.000Z,18JUL25,130000,false,false,,false,,false,,false,,false,,false,,true,118090,true,0.0013,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-07-11,14:00,BTC-18JUL25-130000-C,28,2025-07-11T08:00:00.000Z,2025-07-18T08:00:00.000Z,18JUL25,130000,false,false,,false,,false,,false,,false,,false,,true,117915,true,0.0009,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-07-11,16:00,BTC-18JUL25-130000-C,28,2025-07-11T08:00:00.000Z,2025-07-18T08:00:00.000Z,18JUL25,130000,false,false,,false,,false,,false,,false,,false,,true,117499.5,true,0.0008,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-07-12,08:00,BTC-18JUL25-130000-C,28,2025-07-11T08:00:00.000Z,2025-07-18T08:00:00.000Z,18JUL25,130000,false,false,,false,,false,,false,,false,,false,,true,118030.5,true,0.0007,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-07-12,14:00,BTC-18JUL25-130000-C,28,2025-07-11T08:00:00.000Z,2025-07-18T08:00:00.000Z,18JUL25,130000,false,false,,false,,false,,false,,false,,false,,true,117454,true,0.0006,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-07-12,16:00,BTC-18JUL25-130000-C,28,2025-07-11T08:00:00.000Z,2025-07-18T08:00:00.000Z,18JUL25,130000,false,false,,false,,false,,false,,false,,false,,true,117296.5,true,0.0007,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
2025-07-13,08:00,BTC-18JUL25-130000-C,28,2025-07-11T08:00:00.000Z,2025-07-18T08:00:00.000Z,18JUL25,130000,false,false,,false,,false,,false,,false,,false,,true,117980,true,0.0007,false,0,,,,mark_price|mark_iv|delta|gamma|theta|vega,"mark_history_error:public/get_mark_price_history HTTP 400 Bad Request Invalid params:{""reason"":""instrument is not active"",""param"":""instrument_name""}|trade_candle_exists_but_mark_history_missing|Deribit public/get_mark_price_history returns mark price only and only for a subset of options used in volatility index calculations.|Deribit public/ticker exposes mark_iv and greeks for current/live instruments, but no official public historical point-in-time IV/Greek snapshot endpoint was found."
