year,frictionModel,scenario,haircutPct,relativeMoneyness,appliedHaircutPct,originalReturnPct,adjustedReturnPct,deltaReturnPct,originalTotalPnL,adjustedTotalPnL,totalPremiumHaircutUsd,adjustedFinalCapital,adjustedCallPnL,tradeCount,runName,originalCallPnL
2023,uniform,realistic,0.1,0.0513,0.1,70.81,65.08,-5.73,11866.51,10906.65,959.86,27664.47,-9908.93,51,btc_2023-01-06_2023-12-31T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-8949.07
2023,uniform,conservative,0.2,0.0513,0.2,70.81,59.36,-11.46,11866.51,9946.79,1919.72,26704.61,-10868.79,51,btc_2023-01-06_2023-12-31T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-8949.07
2024,uniform,optimistic,0.05,0.0487,0.05,91.07,86.87,-4.2,38872.89,37080.99,1791.9,79766.53,-11132.89,51,btc_2024-01-05_2024-12-31T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-9340.99
2024,uniform,realistic,0.1,0.0487,0.1,91.07,82.67,-8.4,38872.89,35289.08,3583.81,77974.62,-12924.8,51,btc_2024-01-05_2024-12-31T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-9340.99
2024,uniform,conservative,0.2,0.0487,0.2,91.07,74.28,-16.79,38872.89,31705.28,7167.61,74390.82,-16508.6,51,btc_2024-01-05_2024-12-31T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-9340.99
2025,uniform,optimistic,0.05,0.0489,0.05,1.16,-0.9,-2.06,1105.22,-856.42,1961.64,94373.4,6890.28,51,btc_2025-01-03_2025-12-31T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,8851.92
2025,uniform,realistic,0.1,0.0489,0.1,1.16,-2.96,-4.12,1105.22,-2818.06,3923.28,92411.76,4928.64,51,btc_2025-01-03_2025-12-31T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,8851.92
2025,uniform,conservative,0.2,0.0489,0.2,1.16,-7.08,-8.24,1105.22,-6741.34,7846.56,88488.48,1005.36,51,btc_2025-01-03_2025-12-31T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,8851.92
2026,uniform,optimistic,0.05,0.0491,0.05,0.92,0.28,-0.64,812.55,248.5,564.06,88732.86,8294.08,18,btc_2026-01-02_2026-05-08T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,8858.13
2026,uniform,realistic,0.1,0.0491,0.1,0.92,-0.36,-1.27,812.55,-315.56,1128.11,88168.81,7730.02,18,btc_2026-01-02_2026-05-08T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,8858.13
2026,uniform,conservative,0.2,0.0491,0.2,0.92,-1.63,-2.55,812.55,-1443.67,2256.22,87040.7,6601.91,18,btc_2026-01-02_2026-05-08T08-00-00Z_otm05_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,8858.13
TOTAL,uniform,optimistic,0.05,0.0509,0.05,1063.94,856.56,-207.37,80981.98,71122.24,9859.74,,9808.36,325,TOTAL,19668.1
TOTAL,uniform,realistic,0.1,0.0509,0.1,1063.94,680,-383.93,80981.98,61262.5,19719.48,,-51.38,325,TOTAL,19668.1
TOTAL,uniform,conservative,0.2,0.0509,0.2,1063.94,404.91,-659.03,80981.98,41543.02,39438.96,,-19770.86,325,TOTAL,19668.1
