year,frictionModel,scenario,haircutPct,relativeMoneyness,appliedHaircutPct,originalReturnPct,adjustedReturnPct,deltaReturnPct,originalTotalPnL,adjustedTotalPnL,totalPremiumHaircutUsd,adjustedFinalCapital,adjustedCallPnL,tradeCount,runName,originalCallPnL
2024,uniform,optimistic,0.05,0.0996,0.05,112.8,111.15,-1.64,48691.66,47982.06,709.6,91149.92,-3096.95,51,btc_2024-01-05_2024-12-31T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-2387.35
2024,uniform,realistic,0.1,0.0996,0.1,112.8,109.51,-3.29,48691.66,47272.46,1419.21,90440.32,-3806.55,51,btc_2024-01-05_2024-12-31T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-2387.35
2024,uniform,conservative,0.2,0.0996,0.2,112.8,106.22,-6.58,48691.66,45853.25,2838.41,89021.11,-5225.76,51,btc_2024-01-05_2024-12-31T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,-2387.35
2025,uniform,optimistic,0.05,0.0979,0.05,1.62,1.01,-0.61,1557.22,968.4,588.82,96930.02,9862.43,51,btc_2025-01-03_2025-12-31T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,10451.25
2025,uniform,realistic,0.1,0.0979,0.1,1.62,0.4,-1.23,1557.22,379.58,1177.64,96341.2,9273.61,51,btc_2025-01-03_2025-12-31T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,10451.25
2025,uniform,conservative,0.2,0.0979,0.2,1.62,-0.83,-2.45,1557.22,-798.06,2355.28,95163.56,8095.97,51,btc_2025-01-03_2025-12-31T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,10451.25
2026,uniform,optimistic,0.05,0.1004,0.05,-6.71,-6.87,-0.16,-5954.75,-6094.74,139.98,82683.72,2659.66,18,btc_2026-01-02_2026-05-08T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2799.64
2026,uniform,realistic,0.1,0.1004,0.1,-6.71,-7.02,-0.32,-5954.75,-6234.72,279.96,82543.73,2519.68,18,btc_2026-01-02_2026-05-08T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2799.64
2026,uniform,conservative,0.2,0.1004,0.2,-6.71,-7.34,-0.63,-5954.75,-6514.68,559.93,82263.77,2239.71,18,btc_2026-01-02_2026-05-08T08-00-00Z_otm10_step1000_longbtc_dyn_entry08h00_delay60m_deribitbtcusddeliveryprice_001,2799.64
TOTAL,uniform,optimistic,0.05,0.1005,0.05,1109.02,1002.9,-106.12,81821.59,77517.74,4303.85,,12857.84,325,TOTAL,17161.69
TOTAL,uniform,realistic,0.1,0.1005,0.1,1109.02,903.92,-205.1,81821.59,73213.89,8607.7,,8553.99,325,TOTAL,17161.69
TOTAL,uniform,conservative,0.2,0.1005,0.2,1109.02,726.01,-383.01,81821.59,64606.18,17215.41,,-53.72,325,TOTAL,17161.69
