date,year,regime,policyId,economicScenarioId,source_alert_state,applied_alert_state,hedge_ratio,ccw_daily_return_pct,underlying_daily_return_pct,gross_hedged_daily_return_pct,net_hedged_daily_return_pct,unhedged_equity,gross_hedged_equity,net_hedged_equity,hedge_notional,delta_hedge_notional,required_margin,funding_daily,basis_daily,collateral_effect_daily,fee_cost,slippage_cost,funding_effect,basis_effect,collateral_effect,net_implementation_cost,net_implementation_cost_pct_of_equity
2020-01-17,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,6.878665,1.12366,6.878665,6.878665,1.182243,1.182243,1.182243,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-18,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,1.571027,1.675309,1.571027,1.571027,1.200816,1.200816,1.200816,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-19,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,-2.015023,-3.452334,-2.015023,-2.015023,1.176619,1.176619,1.176619,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-20,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,0.933399,0.475997,0.933399,0.933399,1.187602,1.187602,1.187602,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-21,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,0.002391,-0.098215,0.002391,0.002391,1.18763,1.18763,1.18763,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,0.162599,-0.138793,0.162599,0.162599,1.189561,1.189561,1.189561,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,-3.197762,-3.439889,-3.197762,-3.197762,1.151522,1.151522,1.151522,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,0.716686,1.529327,0.716686,0.716686,1.159775,1.159775,1.159775,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,-1.46277,-1.907969,-1.46277,-1.46277,1.14281,1.14281,1.14281,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,1.698181,1.698181,1.698181,1.698181,1.162217,1.162217,1.162217,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,3.067276,3.535054,3.067276,3.067276,1.197865,1.197865,1.197865,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,1.950324,3.094081,1.950324,1.950324,1.221228,1.221228,1.221228,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,1.414915,3.472762,1.414915,1.414915,1.238507,1.238507,1.238507,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,-0.292166,0.176925,-0.292166,-0.292166,1.234888,1.234888,1.234888,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31,2020,Bull market,stress30_crisis40,BASE,normal,,,,,,,,,,,,,,,,,,,,,,
2020-02-01,2020,Bull market,stress30_crisis40,BASE,normal,,,,,,,,,,,,,,,,,,,,,,
2020-02-02,2020,Bull market,stress30_crisis40,BASE,normal,,,,,,,,,,,,,,,,,,,,,,
2020-02-03,2020,Bull market,stress30_crisis40,BASE,normal,,,,,,,,,,,,,,,,,,,,,,
2020-02-04,2020,Bull market,stress30_crisis40,BASE,normal,,,,,,,,,,,,,,,,,,,,,,
2020-02-05,2020,Bull market,stress30_crisis40,BASE,normal,,,,,,,,,,,,,,,,,,,,,,
2020-02-06,2020,Bull market,stress30_crisis40,BASE,normal,,,,,,,,,,,,,,,,,,,,,,
2020-02-07,2020,Bull market,stress30_crisis40,BASE,normal,,,,,,,,,,,,,,,,,,,,,,
2020-02-08,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,0.427934,0.37659,0.427934,0.427934,1.240173,1.240173,1.240173,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,1.69333,2.479213,1.69333,1.69333,1.261173,1.261173,1.261173,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,-0.674914,-2.186712,-0.674914,-0.674914,1.252661,1.252661,1.252661,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,0.126848,-0.177027,0.126848,0.126848,1.25425,1.25425,1.25425,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,1.977289,5.223956,1.977289,1.977289,1.27905,1.27905,1.27905,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,0.099896,-1.189387,0.099896,0.099896,1.280328,1.280328,1.280328,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-14,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,1.841673,-0.063353,1.841673,1.841673,1.303908,1.303908,1.303908,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-15,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,0.254425,-0.048764,0.254425,0.254425,1.307225,1.307225,1.307225,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,-2.702761,-3.190711,-2.702761,-2.702761,1.271894,1.271894,1.271894,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,-2.807174,-2.953182,-2.807174,-2.807174,1.23619,1.23619,1.23619,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,1.165764,1.064548,1.165764,1.165764,1.250601,1.250601,1.250601,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,4.15607,4.208201,4.15607,4.15607,1.302576,1.302576,1.302576,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,-5.280805,-5.280805,-5.280805,-5.280805,1.23379,1.23379,1.23379,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,-0.552921,0.96304,-0.552921,-0.552921,1.226968,1.226968,1.226968,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,0.158012,-0.247486,0.158012,0.158012,1.228907,1.228907,1.228907,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,2.028184,2.651574,2.028184,2.028184,1.253831,1.253831,1.253831,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,-1.466067,-2.064451,-1.466067,-1.466067,1.235449,1.235449,1.235449,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,-2.608856,-3.439589,-2.608856,-2.608856,1.203218,1.203218,1.203218,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,-3.586874,-3.876258,-3.586874,-3.586874,1.16006,1.16006,1.16006,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,-1.83903,-1.83903,-1.83903,-1.83903,1.138726,1.138726,1.138726,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,2020,Bull market,stress30_crisis40,BASE,normal,,,,,,,,,,,,,,,,,,,,,,
2020-02-29,2020,Bull market,stress30_crisis40,BASE,normal,,,,,,,,,,,,,,,,,,,,,,
2020-03-01,2020,Bull market,stress30_crisis40,BASE,normal,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,2020,Bull market,stress30_crisis40,BASE,normal,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,2020,Bull market,stress30_crisis40,BASE,normal,,,,,,,,,,,,,,,,,,,,,,
2020-03-04,2020,Bull market,stress30_crisis40,BASE,normal,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,2020,Bull market,stress30_crisis40,BASE,normal,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,2020,Bull market,stress30_crisis40,BASE,normal,,,,,,,,,,,,,,,,,,,,,,
2020-03-07,2020,Bull market,stress30_crisis40,BASE,watch,normal,0,0.540958,0.440165,0.540958,0.540958,1.144886,1.144886,1.144886,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,2020,Bull market,stress30_crisis40,BASE,watch,watch,0,-4.94263,-5.13284,-4.94263,-4.94263,1.088299,1.088299,1.088299,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,2020,Bull market,stress30_crisis40,BASE,watch,watch,0,-9.464141,-9.464141,-9.464141,-9.464141,0.985301,0.985301,0.985301,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,2020,Bull market,stress30_crisis40,BASE,watch,watch,0,2.99764,2.99764,2.99764,2.99764,1.014837,1.014837,1.014837,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,2020,Bull market,stress30_crisis40,BASE,watch,watch,0,-2.780358,-2.780358,-2.780358,-2.780358,0.98662,0.98662,0.98662,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,2020,Bull market,stress30_crisis40,BASE,stress,watch,0,-24.329604,-23.872611,-24.329604,-24.329604,0.74658,0.74658,0.74658,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-13,2020,Bull market,stress30_crisis40,BASE,stress,stress,0.3,-10.239136,-5.83166,-8.489638,-8.512138,0.670136,0.683198,0.68303,0.223974,0.223974,0.074658,0,0,0,0.000123,0.000045,0,0,0,0.000168,0.024593
2020-03-14,2020,Bull market,stress30_crisis40,BASE,stress,stress,0.3,-2.502068,-5.544203,-0.838807,-0.838807,0.653369,0.677467,0.6773,0.204909,0,0.068303,0,0,0,0,0,0,0,0,0,0
2020-03-15,2020,Bull market,stress30_crisis40,BASE,stress,stress,0.3,-0.39879,0.216348,-0.463695,-0.463695,0.650763,0.674326,0.67416,0.20319,0,0.06773,0,0,0,0,0,0,0,0,0,0
2020-03-16,2020,Bull market,stress30_crisis40,BASE,stress,stress,0.3,-9.705874,-10.305988,-6.614077,-6.614077,0.587601,0.629725,0.62957,0.202248,0,0.067416,0,0,0,0,0,0,0,0,0,0
2020-03-17,2020,Bull market,stress30_crisis40,BASE,stress,stress,0.3,7.378901,6.184596,5.523522,5.523522,0.63096,0.664508,0.664345,0.188871,0,0.062957,0,0,0,0,0,0,0,0,0,0
2020-03-18,2020,Bull market,stress30_crisis40,BASE,stress,stress,0.3,5.280287,5.173943,3.728104,3.728104,0.664276,0.689282,0.689112,0.199303,0,0.066434,0,0,0,0,0,0,0,0,0,0
2020-03-19,2020,Bull market,stress30_crisis40,BASE,stress,stress,0.3,8.659449,9.211019,5.896143,5.896143,0.721799,0.729923,0.729743,0.206734,0,0.068911,0,0,0,0,0,0,0,0,0,0
2020-03-20,2020,Bull market,stress30_crisis40,BASE,stress,stress,0.3,7.646965,12.501073,3.896643,3.896643,0.776995,0.758365,0.758179,0.218923,0,0.072974,0,0,0,0,0,0,0,0,0,0
2020-03-21,2020,Bull market,stress30_crisis40,BASE,stress,stress,0.3,-2.595148,-5.841977,-0.842555,-0.842555,0.75683,0.751976,0.751791,0.227454,0,0.075818,0,0,0,0,0,0,0,0,0,0
2020-03-22,2020,Bull market,stress30_crisis40,BASE,stress,stress,0.3,-1.435939,-1.838652,-0.884343,-0.884343,0.745963,0.745326,0.745142,0.225537,0,0.075179,0,0,0,0,0,0,0,0,0,0
2020-03-23,2020,Bull market,stress30_crisis40,BASE,stress,stress,0.3,2.970938,3.605908,1.889166,1.889166,0.768125,0.759406,0.759219,0.223543,0,0.074514,0,0,0,0,0,0,0,0,0,0
2020-03-24,2020,Bull market,stress30_crisis40,BASE,stress,stress,0.3,5.991231,6.538707,4.029619,4.029619,0.814145,0.790007,0.789813,0.227766,0,0.075922,0,0,0,0,0,0,0,0,0,0
2020-03-25,2020,Bull market,stress30_crisis40,BASE,stress,stress,0.3,-1.051901,-1.711894,-0.538333,-0.535333,0.805581,0.785754,0.785585,0.236944,0,0.078981,0.0001,0,0,0,0,0.000024,0,0,-0.000024,-0.003016
2020-03-26,2020,Bull market,stress30_crisis40,BASE,stress,stress,0.3,2.807849,0.790995,2.570551,2.579551,0.828201,0.805953,0.805849,0.235675,0,0.078558,0.0003,0,0,0,0,0.000071,0,0,-0.000071,-0.008774
2020-03-27,2020,Bull market,stress30_crisis40,BASE,watch,,,,,,,,,,,,,,,,,,,,,,
2020-03-28,2020,Bull market,stress30_crisis40,BASE,watch,,,,,,,,,,,,,,,,,,,,,,
2020-03-29,2020,Bull market,stress30_crisis40,BASE,watch,,,,,,,,,,,,,,,,,,,,,,
2020-03-30,2020,Bull market,stress30_crisis40,BASE,watch,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,2020,Bull market,stress30_crisis40,BASE,watch,,,,,,,,,,,,,,,,,,,,,,
2020-04-01,2020,Bull market,stress30_crisis40,BASE,watch,,,,,,,,,,,,,,,,,,,,,,
2020-04-02,2020,Bull market,stress30_crisis40,BASE,watch,,,,,,,,,,,,,,,,,,,,,,
2020-04-03,2020,Bull market,stress30_crisis40,BASE,stress,,,,,,,,,,,,,,,,,,,,,,
2020-04-04,2020,Bull market,stress30_crisis40,BASE,stress,stress,0.3,-0.020029,-1.607012,0.462075,0.436301,0.828035,0.809677,0.809365,0.241755,0,0.080585,-0.000859,0,0,0,0,-0.000208,0,0,0.000208,0.025662
2020-04-05,2020,Bull market,stress30_crisis40,BASE,stress,stress,0.3,1.157019,0.95026,0.871941,0.880941,0.837615,0.816737,0.816495,0.24281,0,0.080937,0.0003,0,0,0,0,0.000073,0,0,-0.000073,-0.008921
2020-04-06,2020,Bull market,stress30_crisis40,BASE,stress,stress,0.3,2.722694,4.647742,1.328371,1.337371,0.860421,0.827586,0.827415,0.244949,0,0.08165,0.0003,0,0,0,0,0.000073,0,0,-0.000073,-0.008881
2020-04-07,2020,Bull market,stress30_crisis40,BASE,stress,stress,0.3,1.9793,3.323963,0.982111,0.981089,0.877451,0.835714,0.835533,0.248224,0,0.082741,-0.000034,0,0,0,0,-0.000008,0,0,0.000008,0.001012
2020-04-08,2020,Bull market,stress30_crisis40,BASE,stress,stress,0.3,-0.556558,-1.645923,-0.062781,-0.055284,0.872568,0.835189,0.835071,0.25066,0,0.083553,0.00025,0,0,0,0,0.000063,0,0,-0.000063,-0.007501
2020-04-09,2020,Bull market,stress30_crisis40,BASE,stress,stress,0.3,0.837729,1.472927,0.395851,0.402613,0.879877,0.838495,0.838433,0.250521,0,0.083507,0.000225,0,0,0,0,0.000056,0,0,-0.000056,-0.006735
2020-04-10,2020,Bull market,stress30_crisis40,BASE,stress,stress,0.3,-4.087856,-5.915224,-2.313289,-2.307971,0.843909,0.819098,0.819082,0.25153,0,0.083843,0.000177,0,0,0,0,0.000045,0,0,-0.000045,-0.005443
2020-04-11,2020,Bull market,stress30_crisis40,BASE,stress,stress,0.3,-0.132743,-0.746052,0.091073,0.100073,0.842789,0.819844,0.819902,0.245725,0,0.081908,0.0003,0,0,0,0,0.000074,0,0,-0.000074,-0.008991
2020-04-12,2020,Bull market,stress30_crisis40,BASE,stress,stress,0.3,0.983158,1.138437,0.641627,0.650627,0.851075,0.825105,0.825236,0.245971,0,0.08199,0.0003,0,0,0,0,0.000074,0,0,-0.000074,-0.008942
2020-04-13,2020,Bull market,stress30_crisis40,BASE,stress,stress,0.3,-2.740991,-4.213868,-1.476831,-1.484132,0.827747,0.812919,0.812989,0.247571,0,0.082524,-0.000243,0,0,0,0,-0.00006,0,0,0.00006,0.007411
2020-04-14,2020,Bull market,stress30_crisis40,BASE,stress,stress,0.3,3.354934,4.037665,2.143635,2.118714,0.855517,0.830345,0.830214,0.243897,0,0.081299,-0.000831,0,0,0,0,-0.000203,0,0,0.000203,0.024403
2020-04-15,2020,Bull market,stress30_crisis40,BASE,stress,stress,0.3,-1.525192,-2.613859,-0.741034,-0.783187,0.842469,0.824192,0.823711,0.249064,0,0.083021,-0.001405,0,0,0,0,-0.00035,0,0,0.00035,0.042485
2020-04-16,2020,Bull market,stress30_crisis40,BASE,stress,stress,0.3,3.282491,4.066914,2.062417,2.004023,0.870123,0.84119,0.840219,0.247113,0,0.082371,-0.001946,0,0,0,0,-0.000481,0,0,0.000481,0.057247
2020-04-17,2020,Bull market,stress30_crisis40,BASE,stress,stress,0.3,-1.521936,1.035936,-1.832717,-1.868311,0.85688,0.825774,0.824521,0.252066,0,0.084022,-0.001186,0,0,0,0,-0.000299,0,0,0.000299,0.036271
2020-04-18,2020,Bull market,stress30_crisis40,BASE,stress,stress,0.3,1.176879,2.941592,0.294401,0.284025,0.866965,0.828205,0.826863,0.247356,0,0.082452,-0.000346,0,0,0,0,-0.000086,0,0,0.000086,0.010347
2020-04-19,2020,Bull market,stress30_crisis40,BASE,stress,stress,0.3,-1.17723,-2.465998,-0.437431,-0.464117,0.856759,0.824582,0.823025,0.248059,0,0.082686,-0.00089,0,0,0,0,-0.000221,0,0,0.000221,0.026811
2020-04-20,2020,Bull market,stress30_crisis40,BASE,stress,stress,0.3,0.285545,-1.056412,0.602469,0.601998,0.859205,0.82955,0.82798,0.246908,0,0.082303,-0.000016,0,0,0,0,-0.000004,0,0,0.000004,0.000468
2020-04-21,2020,Bull market,stress30_crisis40,BASE,watch,stress,0.3,-0.88586,-2.541106,-0.123528,-0.119663,0.851594,0.828525,0.826989,0.248394,0,0.082798,0.000129,0,0,0,0,0.000032,0,0,-0.000032,-0.00387
2020-04-22,2020,Bull market,stress30_crisis40,BASE,watch,watch,0,2.39638,3.337715,2.39638,2.37388,0.872001,0.84838,0.846621,0,-0.248097,0,0.000192,0,0,0.000136,0.00005,0,0,0,0.000186,0.021978
2020-04-23,2020,Bull market,stress30_crisis40,BASE,watch,watch,0,0.791482,2.57262,0.791482,0.791482,0.878903,0.855095,0.853321,0,0,0,-0.000894,0,0,0,0,0,0,0,0,0
2020-04-24,2020,Bull market,stress30_crisis40,BASE,watch,,,,,,,,,,,,,,,,,,,,,,
2020-04-25,2020,Bull market,stress30_crisis40,BASE,watch,,,,,,,,,,,,,,,,,,,,,,
2020-04-26,2020,Bull market,stress30_crisis40,BASE,watch,,,,,,,,,,,,,,,,,,,,,,
2020-04-27,2020,Bull market,stress30_crisis40,BASE,watch,,,,,,,,,,,,,,,,,,,,,,
2020-04-28,2020,Bull market,stress30_crisis40,BASE,watch,,,,,,,,,,,,,,,,,,,,,,
2020-04-29,2020,Bull market,stress30_crisis40,BASE,watch,,,,,,,,,,,,,,,,,,,,,,
2020-04-30,2020,Bull market,stress30_crisis40,BASE,watch,,,,,,,,,,,,,,,,,,,,,,
2020-05-01,2020,Bull market,stress30_crisis40,BASE,watch,,,,,,,,,,,,,,,,,,,,,,
2020-05-02,2020,Bull market,stress30_crisis40,BASE,watch,,,,,,,,,,,,,,,,,,,,,,
2020-05-03,2020,Bull market,stress30_crisis40,BASE,watch,,,,,,,,,,,,,,,,,,,,,,
2020-05-04,2020,Bull market,stress30_crisis40,BASE,watch,,,,,,,,,,,,,,,,,,,,,,
2020-05-05,2020,Bull market,stress30_crisis40,BASE,watch,,,,,,,,,,,,,,,,,,,,,,
2020-05-06,2020,Bull market,stress30_crisis40,BASE,watch,,,,,,,,,,,,,,,,,,,,,,
2020-05-07,2020,Bull market,stress30_crisis40,BASE,watch,,,,,,,,,,,,,,,,,,,,,,
2020-05-08,2020,Bull market,stress30_crisis40,BASE,watch,,,,,,,,,,,,,,,,,,,,,,
2020-05-09,2020,Bull market,stress30_crisis40,BASE,watch,watch,0,-0.120184,-1.903752,-0.120184,-0.120184,0.877847,0.854067,0.852296,0,0,0,0.0003,0,0,0,0,0,0,0,0,0
2020-05-10,2020,Bull market,stress30_crisis40,BASE,watch,watch,0,-8.565766,-9.626274,-8.565766,-8.565766,0.802652,0.780909,0.77929,0,0,0,0.0003,0,0,0,0,0,0,0,0,0
2020-05-11,2020,Bull market,stress30_crisis40,BASE,watch,watch,0,1.094109,1.196172,1.094109,1.094109,0.811434,0.789453,0.787817,0,0,0,0.0003,0,0,0,0,0,0,0,0,0
2020-05-12,2020,Bull market,stress30_crisis40,BASE,watch,watch,0,-0.554133,-1.350895,-0.554133,-0.554133,0.806938,0.785079,0.783451,0,0,0,0.0003,0,0,0,0,0,0,0,0,0
2020-05-13,2020,Bull market,stress30_crisis40,BASE,watch,watch,0,3.661912,3.765834,3.661912,3.661912,0.836487,0.813828,0.81214,0,0,0,0.0003,0,0,0,0,0,0,0,0,0
2020-05-14,2020,Bull market,stress30_crisis40,BASE,watch,watch,0,5.545131,5.757176,5.545131,5.545131,0.882871,0.858956,0.857175,0,0,0,0.0003,0,0,0,0,0,0,0,0,0
2020-05-15,2020,Bull market,stress30_crisis40,BASE,watch,watch,0,-2.746731,-0.701919,-2.746731,-2.746731,0.858621,0.835362,0.83363,0,0,0,0.0003,0,0,0,0,0,0,0,0,0
2020-05-16,2020,Bull market,stress30_crisis40,BASE,watch,watch,0,-0.159421,-0.921562,-0.159421,-0.159421,0.857253,0.834031,0.832301,0,0,0,0.0003,0,0,0,0,0,0,0,0,0
2020-05-17,2020,Bull market,stress30_crisis40,BASE,watch,watch,0,2.866704,3.392876,2.866704,2.866704,0.881827,0.85794,0.856161,0,0,0,0.0003,0,0,0,0,0,0,0,0,0
2020-05-18,2020,Bull market,stress30_crisis40,BASE,watch,watch,0,-1.068009,-1.420977,-1.068009,-1.068009,0.872409,0.848777,0.847017,0,0,0,0.0003,0,0,0,0,0,0,0,0,0
2020-05-19,2020,Bull market,stress30_crisis40,BASE,watch,watch,0,0.577963,0.373328,0.577963,0.577963,0.877452,0.853683,0.851912,0,0,0,0.0003,0,0,0,0,0,0,0,0,0
2020-05-20,2020,Bull market,stress30_crisis40,BASE,watch,watch,0,1.784978,1.167476,1.784978,1.784978,0.893114,0.868921,0.867119,0,0,0,0.0003,0,0,0,0,0,0,0,0,0
2020-05-21,2020,Bull market,stress30_crisis40,BASE,watch,watch,0,-4.093238,-4.958129,-4.093238,-4.093238,0.856557,0.833354,0.831626,0,0,0,0.0003,0,0,0,0,0,0,0,0,0
2020-05-22,2020,Bull market,stress30_crisis40,BASE,watch,watch,0,-2.72229,-2.084565,-2.72229,-2.72229,0.833239,0.810667,0.808986,0,0,0,0.0003,0,0,0,0,0,0,0,0,0
2020-05-23,2020,Bull market,stress30_crisis40,BASE,watch,watch,0,0.559087,0.356653,0.559087,0.559087,0.837897,0.8152,0.813509,0,0,0,0.0003,0,0,0,0,0,0,0,0,0
2020-05-24,2020,Bull market,stress30_crisis40,BASE,watch,watch,0,-1.387994,-1.487151,-1.387994,-1.387994,0.826267,0.803885,0.802218,0,0,0,0.0003,0,0,0,0,0,0,0,0,0
2020-05-25,2020,Bull market,stress30_crisis40,BASE,watch,watch,0,-1.850965,-2.047952,-1.850965,-1.850965,0.810973,0.789005,0.787369,0,0,0,0.0003,0,0,0,0,0,0,0,0,0
2020-05-26,2020,Bull market,stress30_crisis40,BASE,watch,watch,0,-0.188907,-0.288968,-0.188907,-0.188907,0.809441,0.787515,0.785882,0,0,0,0.0003,0,0,0,0,0,0,0,0,0
2020-05-27,2020,Bull market,stress30_crisis40,BASE,watch,watch,0,3.881123,3.881123,3.881123,3.881123,0.840857,0.818079,0.816383,0,0,0,0.0003,0,0,0,0,0,0,0,0,0
2020-05-28,2020,Bull market,stress30_crisis40,BASE,watch,watch,0,3.19088,3.035939,3.19088,3.19088,0.867688,0.844183,0.842433,0,0,0,0.000281,0,0,0,0,0,0,0,0,0
2020-05-29,2020,Bull market,stress30_crisis40,BASE,watch,,,,,,,,,,,,,,,,,,,,,,
2020-05-30,2020,Bull market,stress30_crisis40,BASE,watch,,,,,,,,,,,,,,,,,,,,,,
2020-05-31,2020,Bull market,stress30_crisis40,BASE,watch,,,,,,,,,,,,,,,,,,,,,,
2020-06-01,2020,Bull market,stress30_crisis40,BASE,watch,,,,,,,,,,,,,,,,,,,,,,
