date,symbol,fundingRateTimestamp,fundingRate
2020-05-17,BTCUSDT,1589702400000,0.0001
2020-05-17,BTCUSDT,1589731200000,0.0001
2020-05-18,BTCUSDT,1589760000000,0.0001
2020-05-18,BTCUSDT,1589788800000,0.0001
2020-05-18,BTCUSDT,1589817600000,0.0001
2020-05-19,BTCUSDT,1589846400000,0.0001
2020-05-19,BTCUSDT,1589875200000,0.0001
2020-05-19,BTCUSDT,1589904000000,0.0001
2020-05-20,BTCUSDT,1589932800000,0.0001
2020-05-20,BTCUSDT,1589961600000,0.0001
2020-05-20,BTCUSDT,1589990400000,0.0001
2020-05-21,BTCUSDT,1590019200000,0.0001
2020-05-21,BTCUSDT,1590048000000,0.0001
2020-05-21,BTCUSDT,1590076800000,0.0001
2020-05-22,BTCUSDT,1590105600000,0.0001
2020-05-22,BTCUSDT,1590134400000,0.0001
2020-05-22,BTCUSDT,1590163200000,0.0001
2020-05-23,BTCUSDT,1590192000000,0.0001
2020-05-23,BTCUSDT,1590220800000,0.0001
2020-05-23,BTCUSDT,1590249600000,0.0001
2020-05-24,BTCUSDT,1590278400000,0.0001
2020-05-24,BTCUSDT,1590307200000,0.0001
2020-05-24,BTCUSDT,1590336000000,0.0001
2020-05-25,BTCUSDT,1590364800000,0.0001
2020-05-25,BTCUSDT,1590393600000,0.0001
2020-05-25,BTCUSDT,1590422400000,0.0001
2020-05-26,BTCUSDT,1590451200000,0.0001
2020-05-26,BTCUSDT,1590480000000,0.0001
2020-05-26,BTCUSDT,1590508800000,0.0001
2020-05-27,BTCUSDT,1590537600000,0.0001
2020-05-27,BTCUSDT,1590566400000,0.0001
2020-05-27,BTCUSDT,1590595200000,0.0001
2020-05-28,BTCUSDT,1590624000000,0.0001
2020-05-28,BTCUSDT,1590652800000,0.00008101
2020-05-28,BTCUSDT,1590681600000,0.0001
2020-05-29,BTCUSDT,1590710400000,0.00009316
2020-05-29,BTCUSDT,1590739200000,0.0001
2020-05-29,BTCUSDT,1590768000000,0.0001
2020-05-30,BTCUSDT,1590796800000,0.0001
2020-05-30,BTCUSDT,1590825600000,0.0001
2020-05-30,BTCUSDT,1590854400000,0.0001
2020-05-31,BTCUSDT,1590883200000,0.0001
2020-05-31,BTCUSDT,1590912000000,0.0001
2020-05-31,BTCUSDT,1590940800000,0.0001
2020-06-01,BTCUSDT,1590969600000,0.0001
2020-06-01,BTCUSDT,1590998400000,0.0001
2020-06-01,BTCUSDT,1591027200000,0.00003059
2020-06-02,BTCUSDT,1591056000000,0.0001
2020-06-02,BTCUSDT,1591084800000,0.0001
2020-06-02,BTCUSDT,1591113600000,0.0001
2020-06-03,BTCUSDT,1591142400000,0.0001
2020-06-03,BTCUSDT,1591171200000,0.0001
2020-06-03,BTCUSDT,1591200000000,0.0001
2020-06-04,BTCUSDT,1591228800000,0.0001
2020-06-04,BTCUSDT,1591257600000,0.0001
2020-06-04,BTCUSDT,1591286400000,0.0001
2020-06-05,BTCUSDT,1591315200000,0.0001
2020-06-05,BTCUSDT,1591344000000,0.0001
2020-06-05,BTCUSDT,1591372800000,0.0001
2020-06-06,BTCUSDT,1591401600000,0.0001
2020-06-06,BTCUSDT,1591430400000,0.0001
2020-06-06,BTCUSDT,1591459200000,0.0001
2020-06-07,BTCUSDT,1591488000000,0.0001
2020-06-07,BTCUSDT,1591516800000,0.0001
